,name,price
253,"TelefonmobilAllviewP8EnergyMini,DualSIM,16GB,Grey",719
254,"TelefonmobilAppleiPhone7,256GB,Silver",4.549
255,"TelefonmobilUMIPlus,4G,DualSIM,Octa-Core,4GBRAM,32GB,USBType-C,4000mAh,Android7.0,Grey",1.599
256,"TelefonmobilSamsungJ32016DualSim,8GB,4G,Auriu",829
257,"TelefonmobilASUSZenFone3ZE552KL,DualSim,64GB,4G,SaphireBlack",1.799
258,"TelefonmobilBlackviewUltra,3G,DualSIM,Quad-core,1GBRAM,8GB,13MP,RoseGold(inlcludehusa-bumpersilicon)",750
259,"TelefonMobilBlubooMINIDualSIM,KIT,3G,4.5""IPS,QuadCore1.3GHz,1GB+8GB,8MPx,Android6.0,Negru+BONUS:FolieProtectiesiCasti",346
260,"TelefonmobiliHuntFreedom-DualSIM,Quad-Core,8GB,8MPSony,Android5.1,Gold(includeHusasilicon)",550
261,"TelefonmobilAppleiPhone6S,128GB,SpaceGray",3.499
262,"TelefonmobilSamsungGalaxyJ5(2016),DualSim,16GB,4G,Gold",1.039
263,"TelefonmobilSamsungGALAXYS6Edge,32GB,4G,Gold",2.399
264,"TelefonmobilBlackviewA8Max,4G,DualSIM,Quad-Core,2GBRAM,16GB,Android6.0,3000mAh,Negru(includeHusasilicon)",899
265,"TelefonmobilZTEBladeA512,DualSim,16GB,4G,Black",799
266,"TelefonmobilHuaweiY6II,DualSIM,16GB,4G,Gold",749
267,"TelefonmobilSamsungGalaxyC5,C5000,DualSim,32GB,4G,Roz",1.549
268,"TelefonmobilCATB30,DualSIM,Black",379
269,"TelefonmobilNokia230,DualSim,DarkSilver",246
270,"TelefonmobilBlackviewE7s,DualSIM,Quad-Core,2GBRAM,16GB,SenzorAmprenta,Android6.0,Grey",675
271,"TelefonmobilLeEcoLe2Pro(LeTv),DualSIM,4G,5.5-inchFHD,4GBRAM,32GB,Android6.0,USBType-C,Gold",1.999
272,"TelefonmobilBlackviewA8,DualSIM,Quad-Core,5-inchHD,8GB,8MP,Gold,Android5.1(includeHusasilicon)",550
273,"TelefonmobilSamsungJ32016DualSim,8GB,4G,Negru",689
274,"XiaomiRedmi4Prime32GB5,0inches2.0GHzOcta-core3GBArgintiu",949
275,"TelefonmobilSamsungGalaxyA7(2016),DualSim,16GB,4G,Gold",2.082
276,"TelefonmobilSamsungGalaxyJ3(2016)DualSim,8GB,4G,Negru",699
277,"TelefonmobilAllviewP6Qmax,DualSIM,16GB,White",949
278,"TelefonmobilNokia216,Black",179
279,"TelefonmobilAppleiPhone7,256GB,RoseGold",4.549
280,"TelefonmobilMicrosoftLumia532,DualSim,8GB,Black",450
281,"TelefonmobilMicrosoftLumia650,16GB,4G,BlackDarkSilver",673
282,"TelefonMobilUlefonePOWERDualSIM,4G,5.5""FHD,Octa-Core,3GB+16GB,6050mAh,TouchID,Android6.0,AlbastruInchis",999
283,"TelefonmobilVoninoJaxS,DualSim,8GB,DarkBlue",349
284,"TelefonMobilUlefoneBEPureLite,DualSIM,3G,5""HDIPS,Quad-Core,8GB,13MPxSony,Android6.0,Albastru",479
285,"TelefonmobilAppleiPhone7,256GB,Gold",4.549
286,"TelefonmobilNokia230,DualSim,Silver",246
287,"TelefonmobilNokia230,Silver",289
288,"TelefonmobilSamsungGalaxyJ2,DualSim,8GB,4G,Black",789
289,"TelefonmobilUMIRomeX,DualSIM,Quad-Core,8GB,8MP,Android5.1,Negru",693
290,"TelefonmobilSamsungGalaxyJ5(2016),16GB,4G,Black",949
291,"TelefonmobilUlefoneMetal,4G,DualSIM,5.0-inchHD,Octa-Core,3GBRAM,16GB,Android6.0,3050mAh,GriMetalic(includeHusapiele)",799
292,"TelefonmobilNokia222,DualSIM,Black",174
293,"TelefonmobiliHuntFreedom-DualSIM,Quad-Core,8GB,8MPSony,Android5.1,Black(includeHusasilicon)",550
294,"TelefonmobilOukitelU7Plus,4G,DualSIM,Quad-Core,2GBRAM,16GB,SenzorAmprenta,Android6.0,Gold",775
295,"TelefonmobilSamsungGalaxyJ2,DualSim,8GB,4G,Gold",789
296,"TelefonmobilUMIMax,4G,DualSIM,Octa-Core,3GBRAM,16GB,13MP,4000mAh,Android6.0,Grey",1.250
297,"TelefonmobilAllviewV2ViperX,DualSIM,16GB,4G,Blue",949
298,"TelefonmobilLeEcoLe3Pro,DualSIM,4G,Snapdragon821,64GB,16MP,Android6.0,4070mAh,ForceGold",2.875
299,"TelefonmobilBlackviewUltra,DualSIM,Quad-core,8GB,13MP,Gold(inlcludehusa-bumpersilicon)",750
300,"TelefonmobilAllviewP9EnergyMini,DualSIM,16GB,4G,DarkBlue",949
301,"TelefonmobilLenovoVibeP1,DualSIM,32GB,4G,Grey",1.279
302,TelefonMobilLGG5SEH84032GBTitaniumGreyH840Grey,1.949
303,"TelefonmobilHTCDesire820GPlus,DualSim,16GB,3G,GriTuxedo",766
304,"TelefonmobilSamsungGalaxyJ5(2016),16GB,4G,White",949
305,"TelefonmobilHTC10,32GB,4G,CarbonGrey",2.649
306,"TelefonmobilLenovoVibeB,DualSIM,8GB,4G,Black",389
